,soc
1369,5.54
1370,5.54
1371,5.54
1372,5.54
1373,5.54
1374,5.54
1375,5.53
1376,5.52
1377,5.52
1378,5.51
1379,5.5
1380,5.5
1381,5.5
1382,5.5
1383,5.49
1384,5.49
1385,5.49
1386,5.49
1387,5.49
1388,5.48
1389,5.48
1390,5.48
1391,5.47
1392,5.47
1393,5.47
1394,5.47
1395,5.47
1396,5.47
1397,5.46
1398,5.46
1399,5.45
1400,5.45
1401,5.45
1402,5.45
1403,5.45
1404,5.44
1405,5.43
1406,5.43
1407,5.43
1408,5.43
1409,5.42
1410,5.42
1411,5.42
1412,5.42
1413,5.42
1414,5.41
1415,5.4
1416,5.4
1417,5.4
1418,5.39
1419,5.39
1420,5.38
1421,5.38
1422,5.38
1423,5.37
1424,5.36
1425,5.36
1426,5.36
1427,5.36
1428,5.36
1429,5.35
1430,5.34
1431,5.34
1432,5.34
1433,5.34
1434,5.34
1435,5.33
1436,5.33
1437,5.33
1438,5.33
1439,5.33
1440,5.33
1441,5.32
1442,5.32
1443,5.32
1444,5.32
1445,5.32
1446,5.31
1447,5.31
1448,5.31
1449,5.31
1450,5.31
1451,5.3
1452,5.3
1453,5.3
1454,5.3
1455,5.3
1456,5.29
1457,5.29
1458,5.29
1459,5.29
1460,5.28
1461,5.27
1462,5.27
1463,5.27
1464,5.27
1465,5.26
1466,5.26
1467,5.26
1468,5.26
1469,5.26
1470,5.26
1471,5.26
1472,5.26
1473,5.25
1474,5.25
1475,5.24
1476,5.24
1477,5.24
1478,5.24
1479,5.23
1480,5.23
1481,5.23
1482,5.23
1483,5.22
1484,5.21
1485,5.21
1486,5.21
1487,5.21
1488,5.21
1489,5.2
1490,5.2
1491,5.2
1492,5.19
1493,5.19
1494,5.19
1495,5.19
1496,5.19
1497,5.18
1498,5.18
1499,5.18
1500,5.18
1501,5.18
1502,5.17
1503,5.17
1504,5.17
1505,5.17
1506,5.17
1507,5.17
1508,5.17
1509,5.16
1510,5.16
1511,5.16
1512,5.16
1513,5.16
1514,5.16
1515,5.16
1516,5.16
1517,5.15
1518,5.15
1519,5.15
1520,5.14
1521,5.13
1522,5.13
1523,5.13
1524,5.12
1525,5.12
1526,5.12
1527,5.12
1528,5.12
1529,5.11
1530,5.11
1531,5.11
1532,5.11
1533,5.11
1534,5.11
1535,5.11
1536,5.1
1537,5.1
1538,5.1
1539,5.1
1540,5.1
1541,5.1
1542,5.1
1543,5.1
1544,5.09
1545,5.09
1546,5.09
1547,5.09
1548,5.09
1549,5.08
1550,5.07
1551,5.07
1552,5.07
1553,5.07
1554,5.06
1555,5.06
1556,5.06
1557,5.06
1558,5.06
1559,5.06
1560,5.05
1561,5.05
1562,5.04
1563,5.04
1564,5.04
1565,5.04
1566,5.03
1567,5.03
1568,5.02
1569,5.02
1570,5.01
1571,5.01
1572,5.01
1573,5.01
1574,5.01
1575,5.01
1576,5
1577,5
1578,5
1579,5
1580,5
1581,5
1582,4.99
1583,4.99
1584,4.99
1585,4.98
1586,4.98
1587,4.97
1588,4.96
1589,4.96
1590,4.96
1591,4.96
1592,4.96
1593,4.96
1594,4.96
1595,4.95
1596,4.95
1597,4.95
1598,4.95
1599,4.94
1600,4.94
1601,4.94
1602,4.94
1603,4.94
1604,4.94
1605,4.94
1606,4.93
1607,4.93
1608,4.93
1609,4.93
1610,4.93
1611,4.93
1612,4.92
1613,4.92
1614,4.92
1615,4.92
1616,4.92
1617,4.91
1618,4.91
1619,4.91
1620,4.91
1621,4.91
1622,4.9
1623,4.9
1624,4.9
1625,4.9
1626,4.9
1627,4.89
1628,4.89
1629,4.89
1630,4.89
1631,4.89
1632,4.88
1633,4.88
1634,4.87
1635,4.87
1636,4.87
1637,4.86
1638,4.86
1639,4.86
1640,4.86
1641,4.85
1642,4.85
1643,4.85
1644,4.85
1645,4.85
1646,4.84
1647,4.84
1648,4.84
1649,4.84
1650,4.83
1651,4.83
1652,4.83
1653,4.83
1654,4.82
1655,4.82
1656,4.82
1657,4.82
1658,4.82
1659,4.82
1660,4.82
1661,4.82
1662,4.81
1663,4.81
1664,4.81
1665,4.81
1666,4.81
1667,4.8
1668,4.8
1669,4.8
1670,4.79
1671,4.79
1672,4.79
1673,4.78
1674,4.78
1675,4.78
1676,4.78
1677,4.78
1678,4.78
1679,4.77
1680,4.77
1681,4.76
1682,4.76
1683,4.76
1684,4.76
1685,4.76
1686,4.75
1687,4.75
1688,4.75
1689,4.75
1690,4.74
1691,4.74
1692,4.73
1693,4.73
1694,4.73
1695,4.73
1696,4.73
1697,4.72
1698,4.72
1699,4.72
1700,4.72
1701,4.72
1702,4.71
1703,4.71
1704,4.71
1705,4.71
1706,4.71
1707,4.7
1708,4.7
1709,4.69
1710,4.69
1711,4.69
1712,4.69
1713,4.69
1714,4.69
1715,4.68
1716,4.68
1717,4.68
1718,4.68
1719,4.68
1720,4.67
1721,4.67
1722,4.66
1723,4.66
1724,4.66
1725,4.66
1726,4.65
1727,4.65
1728,4.65
1729,4.65
1730,4.65
1731,4.65
1732,4.64
1733,4.64
1734,4.64
1735,4.64
1736,4.63
1737,4.63
1738,4.63
1739,4.63
1740,4.63
1741,4.63
1742,4.63
1743,4.63
1744,4.63
1745,4.63
1746,4.62
1747,4.62
1748,4.62
1749,4.62
1750,4.62
1751,4.62
1752,4.62
1753,4.61
1754,4.61
1755,4.61
1756,4.6
1757,4.6
1758,4.6
1759,4.6
1760,4.6
1761,4.59
1762,4.59
1763,4.59
1764,4.59
1765,4.59
1766,4.58
1767,4.58
1768,4.58
1769,4.58
1770,4.58
1771,4.58
1772,4.58
1773,4.58
1774,4.58
1775,4.58
1776,4.57
1777,4.57
1778,4.56
1779,4.56
1780,4.56
1781,4.56
1782,4.56
1783,4.56
1784,4.55
1785,4.55
1786,4.55
1787,4.55
1788,4.55
1789,4.55
1790,4.54
1791,4.54
1792,4.54
1793,4.54
1794,4.54
1795,4.54
1796,4.53
1797,4.53
1798,4.53
1799,4.53
1800,4.53
1801,4.52
1802,4.52
1803,4.52
1804,4.52
1805,4.51
1806,4.51
1807,4.51
1808,4.51
1809,4.51
1810,4.5
1811,4.5
1812,4.5
1813,4.5
1814,4.49
1815,4.49
1816,4.49
1817,4.49
1818,4.48
1819,4.48
1820,4.48
1821,4.48
1822,4.48
1823,4.48
1824,4.48
1825,4.47
1826,4.47
1827,4.47
1828,4.47
1829,4.46
1830,4.46
1831,4.46
1832,4.46
1833,4.46
1834,4.46
1835,4.45
1836,4.45
1837,4.45
1838,4.45
1839,4.45
1840,4.45
1841,4.45
1842,4.45
1843,4.44
1844,4.44
1845,4.44
1846,4.44
1847,4.43
1848,4.43
1849,4.43
1850,4.43
1851,4.42
1852,4.42
1853,4.42
1854,4.42
1855,4.42
1856,4.42
1857,4.41
1858,4.41
1859,4.41
1860,4.41
1861,4.41
1862,4.41
1863,4.41
1864,4.41
1865,4.41
1866,4.41
1867,4.4
1868,4.4
1869,4.4
1870,4.4
1871,4.39
1872,4.39
1873,4.38
1874,4.37
1875,4.37
1876,4.37
1877,4.37
1878,4.37
1879,4.37
1880,4.36
1881,4.36
1882,4.36
1883,4.36
1884,4.36
1885,4.35
1886,4.35
1887,4.34
1888,4.34
1889,4.34
1890,4.34
1891,4.34
1892,4.33
1893,4.33
1894,4.33
1895,4.32
1896,4.32
1897,4.32
1898,4.32
1899,4.32
1900,4.31
1901,4.31
1902,4.31
1903,4.31
1904,4.31
1905,4.3
1906,4.3
1907,4.3
1908,4.3
1909,4.3
1910,4.3
1911,4.3
1912,4.3
1913,4.29
1914,4.29
1915,4.29
1916,4.29
1917,4.29
1918,4.29
1919,4.28
1920,4.28
1921,4.28
1922,4.28
1923,4.28
1924,4.27
1925,4.27
1926,4.27
1927,4.27
1928,4.27
1929,4.26
1930,4.26
1931,4.26
1932,4.26
1933,4.26
1934,4.26
1935,4.26
1936,4.25
1937,4.25
1938,4.25
1939,4.25
1940,4.25
1941,4.24
1942,4.24
1943,4.24
1944,4.24
1945,4.24
1946,4.24
1947,4.23
1948,4.23
1949,4.23
1950,4.23
1951,4.23
1952,4.22
1953,4.22
1954,4.22
1955,4.21
1956,4.21
1957,4.21
1958,4.21
1959,4.21
1960,4.21
1961,4.21
1962,4.2
1963,4.2
1964,4.2
1965,4.2
1966,4.2
1967,4.19
1968,4.19
1969,4.19
1970,4.19
1971,4.18
1972,4.18
1973,4.18
1974,4.18
1975,4.18
1976,4.18
1977,4.18
1978,4.17
1979,4.17
1980,4.17
1981,4.17
1982,4.17
1983,4.17
1984,4.17
1985,4.16
1986,4.16
1987,4.16
1988,4.16
1989,4.16
1990,4.16
1991,4.15
1992,4.15
1993,4.15
1994,4.15
1995,4.15
1996,4.15
1997,4.15
1998,4.15
1999,4.14
2000,4.14
2001,4.14
2002,4.14
2003,4.14
2004,4.14
2005,4.14
2006,4.14
2007,4.13
2008,4.13
2009,4.13
2010,4.13
2011,4.12
2012,4.12
2013,4.12
2014,4.12
2015,4.12
2016,4.12
2017,4.12
2018,4.12
2019,4.11
2020,4.11
2021,4.11
2022,4.11
2023,4.11
2024,4.1
2025,4.1
2026,4.1
2027,4.1
2028,4.1
2029,4.1
2030,4.1
2031,4.1
2032,4.1
2033,4.1
2034,4.1
2035,4.09
2036,4.08
2037,4.08
2038,4.08
2039,4.08
2040,4.08
2041,4.08
2042,4.08
2043,4.08
2044,4.07
2045,4.07
2046,4.07
2047,4.07
2048,4.07
2049,4.06
2050,4.06
2051,4.06
2052,4.06
2053,4.06
2054,4.06
2055,4.06
2056,4.06
2057,4.06
2058,4.06
2059,4.05
2060,4.05
2061,4.05
2062,4.05
2063,4.05
2064,4.05
2065,4.05
2066,4.04
2067,4.04
2068,4.04
2069,4.04
2070,4.04
2071,4.03
2072,4.03
2073,4.03
2074,4.03
2075,4.03
2076,4.03
2077,4.03
2078,4.03
2079,4.03
2080,4.03
2081,4.02
2082,4.02
2083,4.02
2084,4.02
2085,4.02
2086,4.02
2087,4.02
2088,4.02
2089,4.02
2090,4.02
2091,4.01
2092,4.01
2093,4.01
2094,4.01
2095,4.01
2096,4.01
2097,4.01
2098,4.01
2099,4.0
2100,4.0
2101,4.0
2102,4.0
2103,4.0
2104,4.0
2105,4.0
2106,4.0
2107,4.0
2108,3.99
2109,3.99
2110,3.99
2111,3.99
2112,3.99
2113,3.99
2114,3.98
2115,3.98
2116,3.98
2117,3.98
2118,3.97
2119,3.97
2120,3.97
2121,3.97
2122,3.97
2123,3.97
2124,3.97
2125,3.97
2126,3.97
2127,3.96
2128,3.96
2129,3.95
2130,3.95
2131,3.95
2132,3.95
2133,3.95
2134,3.95
2135,3.94
2136,3.94
2137,3.94
2138,3.94
2139,3.94
2140,3.94
2141,3.93
2142,3.93
2143,3.93
2144,3.93
2145,3.92
2146,3.92
